date,shop_id,orders,gross_sales,refunds,net_sales
2026-06-22,shop_demo_agency,54,4520.53,309.2,4211.33
2026-06-23,shop_demo_agency,42,4046.96,317.92,3729.04
2026-06-24,shop_demo_agency,50,4213.69,271.98,3941.71
2026-06-25,shop_demo_agency,45,4380.9,235.09,4145.81
2026-06-26,shop_demo_agency,55,4505.01,182.15,4322.86
2026-06-27,shop_demo_agency,32,3201.4,242.53,2958.87
2026-06-28,shop_demo_agency,32,3332.83,196.07,3136.76
2026-06-29,shop_demo_agency,65,4488.68,228.33,4260.35
2026-06-30,shop_demo_agency,58,4564.78,307.21,4257.57
2026-07-01,shop_demo_agency,40,4271.6,320.72,3950.88
2026-07-02,shop_demo_agency,46,4493.66,154.6,4339.06
2026-07-03,shop_demo_agency,47,4496.25,168.46,4327.79
2026-07-04,shop_demo_agency,36,3489.41,226.3,3263.11
2026-07-05,shop_demo_agency,35,3299.51,157.39,3142.12
2026-07-06,shop_demo_agency,53,4043.92,164.09,3879.83
2026-07-07,shop_demo_agency,44,4062.94,162.77,3900.17
2026-07-08,shop_demo_agency,42,4583.16,256.42,4326.74
2026-07-09,shop_demo_agency,57,4688.06,365.81,4322.25
2026-07-10,shop_demo_agency,52,4383.74,279.4,4104.34
2026-07-11,shop_demo_agency,30,3100.89,213.42,2887.47
2026-07-12,shop_demo_agency,45,3551.77,273.58,3278.19
2026-07-13,shop_demo_agency,40,4341.84,174.48,4167.36
2026-07-14,shop_demo_agency,51,4535.75,160.71,4375.04
2026-07-15,shop_demo_agency,45,4718.16,296.89,4421.27
2026-07-16,shop_demo_agency,43,4454.79,147.68,4307.11
2026-07-17,shop_demo_agency,56,4215.61,301.06,3914.55
2026-07-18,shop_demo_agency,35,3597.73,129.07,3468.66
2026-07-19,shop_demo_agency,49,3436.98,222.34,3214.64
2026-07-20,shop_demo_agency,45,4691.92,274.65,4417.27
2026-07-21,shop_demo_agency,40,4226.36,165.84,4060.52
