date,shop_id,orders,gross_sales,refunds,net_sales
2026-04-23,shop_demo_dtc,114,10339.64,812.67,9526.97
2026-04-24,shop_demo_dtc,115,11696.07,728.72,10967.35
2026-04-25,shop_demo_dtc,78,7992.67,328.01,7664.66
2026-04-26,shop_demo_dtc,113,8022.09,586.49,7435.6
2026-04-27,shop_demo_dtc,143,11479.59,618.26,10861.33
2026-04-28,shop_demo_dtc,134,12051.87,445.72,11606.15
2026-04-29,shop_demo_dtc,146,10596.97,425.05,10171.92
2026-04-30,shop_demo_dtc,120,10875.88,354.18,10521.7
2026-05-01,shop_demo_dtc,151,11796.15,830.52,10965.63
2026-05-02,shop_demo_dtc,79,8604.05,670.03,7934.02
2026-05-03,shop_demo_dtc,95,8283.83,252.22,8031.61
2026-05-04,shop_demo_dtc,109,10445.28,797.89,9647.39
2026-05-05,shop_demo_dtc,171,12216.58,828.62,11387.96
2026-05-06,shop_demo_dtc,164,11167.74,418.54,10749.2
2026-05-07,shop_demo_dtc,126,11962.35,565.45,11396.9
2026-05-08,shop_demo_dtc,119,11496.34,640.37,10855.97
2026-05-09,shop_demo_dtc,99,8925.44,488.77,8436.67
2026-05-10,shop_demo_dtc,90,8481.51,351.21,8130.3
2026-05-11,shop_demo_dtc,105,11385.27,688.01,10697.26
2026-05-12,shop_demo_dtc,162,11018.63,818.35,10200.28
2026-05-13,shop_demo_dtc,150,10496.45,781.19,9715.26
2026-05-14,shop_demo_dtc,138,10612.2,611.52,10000.68
2026-05-15,shop_demo_dtc,143,10769.34,817.52,9951.82
2026-05-16,shop_demo_dtc,92,9417.32,514.64,8902.68
2026-05-17,shop_demo_dtc,78,8318.19,386.59,7931.6
2026-05-18,shop_demo_dtc,123,11468.37,561.15,10907.22
2026-05-19,shop_demo_dtc,132,12039.32,474.56,11564.76
2026-05-20,shop_demo_dtc,148,11832.94,605.03,11227.91
2026-05-21,shop_demo_dtc,115,12269.64,530.8,11738.84
2026-05-22,shop_demo_dtc,154,11031.84,577.36,10454.48
2026-05-23,shop_demo_dtc,94,8075.12,347.99,7727.13
2026-05-24,shop_demo_dtc,95,8611.32,577.57,8033.75
2026-05-25,shop_demo_dtc,121,11782.53,420.67,11361.86
2026-05-26,shop_demo_dtc,134,12312.48,604.78,11707.7
2026-05-27,shop_demo_dtc,113,11784.93,852.56,10932.37
2026-05-28,shop_demo_dtc,113,10990.02,388.13,10601.89
2026-05-29,shop_demo_dtc,136,11731.64,442.84,11288.8
2026-05-30,shop_demo_dtc,80,8728.19,299.25,8428.94
2026-05-31,shop_demo_dtc,110,9755.38,581.35,9174.03
2026-06-01,shop_demo_dtc,106,10813.29,856.7,9956.59
2026-06-02,shop_demo_dtc,142,11441.26,664.9,10776.36
2026-06-03,shop_demo_dtc,118,12458.97,886.97,11572
2026-06-04,shop_demo_dtc,119,10908.75,562.18,10346.57
2026-06-05,shop_demo_dtc,158,11037.9,549.56,10488.34
2026-06-06,shop_demo_dtc,82,8365.36,398.02,7967.34
2026-06-07,shop_demo_dtc,87,8507.18,626.93,7880.25
2026-06-08,shop_demo_dtc,131,11394.33,707.23,10687.1
2026-06-09,shop_demo_dtc,147,11037.44,669.78,10367.66
2026-06-10,shop_demo_dtc,128,11782.72,768.28,11014.44
2026-06-11,shop_demo_dtc,138,11506.58,807.35,10699.23
2026-06-12,shop_demo_dtc,132,12371.99,576.51,11795.48
2026-06-13,shop_demo_dtc,85,8392.84,583.97,7808.87
2026-06-14,shop_demo_dtc,86,9082.56,586.86,8495.7
2026-06-15,shop_demo_dtc,128,11426.8,660.64,10766.16
2026-06-16,shop_demo_dtc,134,12366.03,594.97,11771.06
2026-06-17,shop_demo_dtc,141,12049.72,938.37,11111.35
